tool,project,scope,syntax_pass,syntax_error,assertion_pass,assertion_error,assertion_fix_success,llm_calls,prompt_tokens,completion_tokens
test4py_baseline,ansible,all,1891,3008,282,1944,70,0,74341785,14239804
test4py_baseline,ansible,round1,269,829,36,321,10,0,74341785,14239804
test4py_baseline,apimd,all,73,43,10,79,1,0,1879070,343559
test4py_baseline,apimd,round1,26,19,7,28,1,0,1879070,343559
test4py_baseline,black,all,157,233,27,190,10,0,7369751,1457267
test4py_baseline,black,round1,52,78,7,64,4,0,7369751,1457267
test4py_baseline,codetiming,all,2,28,1,3,0,0,241253,65426
test4py_baseline,codetiming,round1,0,11,0,1,0,0,241253,65426
test4py_baseline,cookiecutter,all,37,14,3,41,1,0,1120134,219657
test4py_baseline,cookiecutter,round1,11,8,2,14,1,0,1120134,219657
test4py_baseline,dataclasses-json,all,33,130,9,36,1,0,1873980,471031
test4py_baseline,dataclasses-json,round1,15,44,4,14,1,0,1873980,471031
test4py_baseline,docstring_parser,all,10,87,1,14,0,0,930627,291834
test4py_baseline,docstring_parser,round1,5,33,1,8,0,0,930627,291834
test4py_baseline,flutes,all,79,30,20,71,13,0,2100011,541136
test4py_baseline,flutes,round1,35,12,13,27,6,0,2100011,541136
test4py_baseline,flutils,all,84,48,18,82,11,0,2663954,381303
test4py_baseline,flutils,round1,41,20,11,37,7,0,2663954,381303
test4py_baseline,httpie,all,137,308,18,151,3,0,4437768,964341
test4py_baseline,httpie,round1,55,105,7,58,2,0,4437768,964341
test4py_baseline,isort,all,34,27,10,25,2,0,594683,113996
test4py_baseline,isort,round1,18,10,9,10,1,0,594683,113996
test4py_baseline,mimesis,all,223,215,13,233,13,0,6031249,962283
test4py_baseline,mimesis,round1,101,76,8,101,7,0,6031249,962283
test4py_baseline,py-backwards,all,77,168,4,93,1,0,2505690,608044
test4py_baseline,py-backwards,round1,34,57,2,37,0,0,2505690,608044
test4py_baseline,pyMonet,all,103,144,41,71,6,0,2367597,533489
test4py_baseline,pyMonet,round1,74,68,32,50,4,0,2367597,533489
test4py_baseline,pypara,all,154,500,28,172,6,0,6053363,1432743
test4py_baseline,pypara,round1,77,176,24,69,4,0,6053363,1432743
test4py_baseline,python-semantic-release,all,110,59,1,121,0,0,1713105,348677
test4py_baseline,python-semantic-release,round1,40,22,0,40,0,0,1713105,348677
test4py_baseline,python-string-utils,all,71,76,28,62,4,0,1453942,316669
test4py_baseline,python-string-utils,round1,39,26,17,28,2,0,1453942,316669
test4py_baseline,pytutils,all,93,109,5,108,1,0,2806400,422534
test4py_baseline,pytutils,round1,36,38,4,39,1,0,2806400,422534
test4py_baseline,sanic,all,32,89,2,45,0,0,2493182,486577
test4py_baseline,sanic,round1,2,10,0,3,0,0,2493182,486577
test4py_baseline,sty,all,19,17,3,19,0,0,555583,132954
test4py_baseline,sty,round1,7,8,0,9,0,0,555583,132954
test4py_baseline,thefuck,all,173,208,24,192,6,0,3578647,745342
test4py_baseline,thefuck,round1,75,74,17,75,5,0,3578647,745342
test4py_baseline,thonny,all,59,58,5,60,3,0,17620832,6326096
test4py_baseline,thonny,round1,26,20,5,24,2,0,17620832,6326096
test4py_baseline,tornado,all,302,476,92,267,5,0,9527292,1862401
test4py_baseline,tornado,round1,118,183,39,105,3,0,9527292,1862401
test4py_baseline,tqdm,all,43,78,12,44,1,0,1842478,286751
test4py_baseline,tqdm,round1,15,34,4,14,1,0,1842478,286751
test4py_baseline,typesystem,all,123,262,15,135,8,0,4866883,896845
test4py_baseline,typesystem,round1,54,100,10,58,4,0,4866883,896845
test4py_baseline,youtube-dl,all,275,402,40,296,9,0,11309397,1757089
test4py_baseline,youtube-dl,round1,105,144,17,117,8,0,11309397,1757089
